qp_ref,opened_datetime,closed_datetime,route_code,mes_label,old_label,line_ref,lot_ref,pallet_ref,source_event_ref,raw_class_at_open,final_class,qa_severity,disposition_code,stock_route_state,case_status,credit_case_ref,qa_note
QP-2531,08/05/2025 23:51,09/05/2025 09:47,FP5-A,F5_RGD,FP5,FP5,LOT-F5A-0508-N1,PAL-F5-5169,EVT-F5-0508-027,seal_tamper,seal_edge,major,HELD_REWORKED,ROUTE_CLEAR,closed,,seal row corrected at table
QP-2532,08/05/2025 20:15,09/05/2025 10:04,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0508-L1,PAL-F6-1831,EVT-F6-0508-037,barcode_read,barcode_contrast,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,barcode table check closed
QP-2533,10/05/2025 23:12,11/05/2025 07:35,FP6-N,F6_NGT,FP-6 night,FP6,LOT-F6N-0510-N1,PAL-F6N-2802,EVT-F6N-0510-045,label_position,label_position,watch,TABLE_CLOSED,ROUTE_CLEAR,closed,,night exception label row
QP-2534,12/05/2025 18:13,13/05/2025 09:18,FP2-A,F2_MAIN,FP2,FP2,LOT-F2A-0512-L1,PAL-F2-2183,EVT-F2-0512-010,label_position,label_position,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,pallet table row closed
QP-2536,14/05/2025 11:25,17/05/2025 10:42,FP7-A,F7_EXP,FP7,FP7,LOT-F7A-0514-D1,PAL-F7-7148,EVT-F7-0514-055,label_batch,label_batch_mark,supplier,SUPPLIER_COMPARE,SUPPLIER_REVIEW,closed,,same supplier batch compare
QP-2537,12/05/2025 09:51,12/05/2025 18:55,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0512-D1,PAL-F6-1849,EVT-F6-0512-038,insert_missing,accessory_missing,major,HELD_REWORKED,ROUTE_CLEAR,closed,,accessory replaced before close
QP-2539,15/05/2025 13:29,16/05/2025 10:51,FP6-R,F6_REC,FP-6 rework,FP6,LOT-F6R-0515-D1,PAL-F6R-6144,EVT-F6R-0515-052,rework_seal,rework_seal_note,recovery,RECOVERY_NOTE,RECOVERY,closed,,recovery sheet seal note
QP-2541,16/05/2025 10:44,20/05/2025 14:30,FP5-X,F5_EXP_TR,FP5X,FP5,LOT-F5X-0516-D1,PAL-F5X-7135,EVT-F5X-0516-032,label_align,trial_label_prompt,trial,TRIAL_REVIEW,TRIAL_QUEUE,closed,,trial branch row kept beside FP5
QP-2544,17/05/2025 07:04,17/05/2025 13:52,FP5-A,F5_RGD,FP5,FP5,LOT-F5A-0517-D1,PAL-F5-5241,EVT-F5-0517-029,insert_missing,accessory_missing,major,HELD_REWORKED,ROUTE_CLEAR,closed,,accessory corrected
QP-2552,20/05/2025 19:21,21/05/2025 09:02,FP3-A,F3_EXP,FP3,FP3,LOT-F3A-0520-L1,PAL-F3-3255,EVT-F3-0520-018,barcode_read,barcode_contrast,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,barcode row closed
QP-2553,20/05/2025 10:38,24/05/2025 12:35,FP8-T,F8_TRIAL,FP8,FP8,LOT-F8T-0520-D1,PAL-F8-8207,EVT-F8-0520-060,label_position,trial_label_prompt,trial,TRIAL_REVIEW,TRIAL_QUEUE,closed,CR-F8-220,trial label prompt linked to service watch
QP-2555,21/05/2025 18:30,22/05/2025 08:45,FP5-A,F5_RGD,FP5,FP5,LOT-F5A-0521-L1,PAL-F5-5280,EVT-F5-0521-030,barcode_read,barcode_contrast,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,barcode table check closed
QP-2556,21/05/2025 00:24,21/05/2025 09:58,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0520-N2,PAL-F6-1884,EVT-F6-0521-014,seal_tamper,seal_band_rework,major,HELD_REWORKED,ROUTE_CLEAR,closed,,seal band held at table and reworked before close
QP-2560,22/05/2025 16:51,23/05/2025 08:10,FP4-A,F4_EXP,FP4,FP4,LOT-F4A-0522-L1,PAL-F4-4260,EVT-F4-0522-024,barcode_read,barcode_contrast,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,late week barcode row
QP-2561,22/05/2025 17:33,23/05/2025 10:28,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0522-L1,PAL-F6-1902,EVT-F6-0522-043,insert_missing,accessory_missing,major,HELD_REWORKED,ROUTE_CLEAR,closed,,late accessory row corrected
QP-2563,23/05/2025 08:40,23/05/2025 14:12,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0523-D1,PAL-F6-1911,EVT-F6-0523-044,barcode_read,barcode_contrast,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,barcode row closed
QP-2564,23/05/2025 20:49,,FP2-A,F2_MAIN,FP2,FP2,LOT-F2A-0523-L2,PAL-F2-2266,EVT-F2-0523-012,barcode_read,barcode_contrast,watch,OPEN_REVIEW,OPEN,open,,late week barcode row still open in export
QP-2565,23/05/2025 12:09,,FP5-X,F5_EXP_TR,FP5X,FP5,LOT-F5X-0523-D1,PAL-F5X-7168,EVT-F5X-0523-034,insert_missing,trial_insert_prompt,trial,OPEN_REVIEW,TRIAL_QUEUE,open,,trial branch insert row still open in export
QP-2566,23/05/2025 13:24,,FP3-A,F3_EXP,FP3,FP3,LOT-F3A-0523-D1,PAL-F3-3272,EVT-F3-0523-067,insert_missing,insert_absent,watch,OPEN_REVIEW,OPEN,open,,late insert row still open in export
QP-2568,24/05/2025 09:24,,FP8-T,F8_TRIAL,FP8,FP8,LOT-F8T-0524-D1,PAL-F8-8230,EVT-F8-0524-061,seal_tamper,trial_seal_prompt,trial,OPEN_REVIEW,TRIAL_QUEUE,open,CR-F8-238,late trial seal row still open
QP-2569,24/05/2025 07:12,,FP5-A,F5_RGD,FP5,FP5,LOT-F5A-0524-D1,PAL-F5-5294,EVT-F5-0524-068,seal_tamper,seal_edge,watch,OPEN_REVIEW,OPEN,open,,late W22 seal row still open
QP-2570,24/05/2025 08:28,,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0524-D1,PAL-F6-1924,EVT-F6-0524-069,insert_missing,accessory_missing,watch,OPEN_REVIEW,OPEN,open,,late W22 accessory row still open
QP-2571,24/05/2025 11:16,,FP7-A,F7_EXP,FP7,FP7,LOT-F7A-0524-D1,PAL-F7-7207,EVT-F7-0524-070,label_batch,label_batch_mark,supplier,OPEN_REVIEW,SUPPLIER_REVIEW,open,,late supplier batch compare row
QP-2580,26/05/2025 09:17,,FP8-T,F8_TRIAL,FP8,FP8,LOT-F8T-0524-D1,PAL-F8-8230,CR-F8-238,seal_tamper,trial_seal_prompt,trial,DUP_LINK,TRIAL_QUEUE,open,CR-F8-238,service watch linked to late trial row
QP-2581,26/05/2025 10:02,,FP5-X,F5_EXP_TR,FP5X,FP5,LOT-F5X-0523-D1,PAL-F5X-7168,CR-F5X-114,insert_missing,trial_insert_prompt,trial,DUP_LINK,TRIAL_QUEUE,open,CR-F5X-114,service watch linked to trial branch row
QP-2582,27/05/2025 08:46,,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0524-D1,PAL-F6-1924,CR-F6-209,insert_missing,accessory_missing,watch,DUP_LINK,OPEN,open,CR-F6-209,service watch linked to late W22 accessory row
